code,is_dialect,n_oldi,n_wiki_avail,n_wiki_used,n_total
fur,True,5167,22256,22256,27423
lij,True,5167,49058,49058,54225
lmo,True,5167,100000,94833,100000
vec,True,5167,98202,94833,100000
scn,True,5167,75047,75047,80214
sc,True,5167,60948,60948,66115
ita,False,0,100000,100000,100000
spa,False,0,100000,100000,100000
cat,False,0,100000,100000,100000
por,False,0,100000,100000,100000
fra,False,0,100000,100000,100000
oci,False,0,100000,100000,100000
deu,False,0,100000,100000,100000
eng,False,0,100000,100000,100000
slv,False,0,100000,100000,100000
hrv,False,0,100000,100000,100000
hun,False,0,100000,100000,100000
