,Abruzzo,Basilicata,Calabria,Campania,Canton Ticino,Cantone Grigioni,Corsica,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige,Umbria,Val d’Aosta,Veneto
Abruzzo,0,321,377,297,229,289,222,301,248,312,303,334,273,298,370,368,301,266,265,249,157,170,290
Basilicata,321,0,420,320,209,292,239,300,239,295,300,335,257,266,402,388,322,296,262,249,156,167,301
Calabria,377,420,0,369,240,352,275,381,278,337,363,429,306,309,500,491,391,358,298,284,162,179,350
Campania,297,320,369,0,191,267,222,275,227,277,270,302,239,277,337,337,299,276,247,227,139,151,250
Canton Ticino,229,209,240,191,0,248,191,239,210,204,235,269,224,191,277,242,223,201,211,206,134,139,229
Cantone Grigioni,289,292,352,267,248,0,247,361,303,263,324,431,270,234,446,344,335,272,315,304,159,182,341
Corsica,222,239,275,222,191,247,0,255,224,208,254,277,216,186,296,265,264,222,241,218,138,141,236
Emilia-Romagna,301,300,381,275,239,361,255,0,307,273,350,469,270,246,498,349,339,285,339,306,168,171,364
Friuli-Venezia Giulia,248,239,278,227,210,303,224,307,0,229,280,340,222,203,355,265,262,225,271,240,146,155,286
Lazio,312,295,337,277,204,263,208,273,229,0,266,296,243,275,334,324,263,256,234,224,146,155,251
Liguria,303,300,363,270,235,324,254,350,280,266,0,390,268,239,443,343,324,279,282,266,160,186,315
Lombardia,334,335,429,302,269,431,277,469,340,296,390,0,320,267,593,410,384,317,368,346,167,199,421
Marche,273,257,306,239,224,270,216,270,222,243,268,320,0,230,333,301,270,236,252,230,149,160,258
Molise,298,266,309,277,191,234,186,246,203,275,239,267,230,0,295,307,240,239,213,208,141,143,231
Piemonte,370,402,500,337,277,446,296,498,355,334,443,593,333,295,0,469,426,342,374,353,181,224,432
Puglia,368,388,491,337,242,344,265,349,265,324,343,410,301,307,469,0,369,345,295,281,174,173,325
Sardegna,301,322,391,299,223,335,264,339,262,263,324,384,270,240,426,369,0,291,295,273,155,164,316
Sicilia,266,296,358,276,201,272,222,285,225,256,279,317,236,239,342,345,291,0,239,229,152,162,261
Toscana,265,262,298,247,211,315,241,339,271,234,282,368,252,213,374,295,295,239,0,261,148,162,299
Trentino-Alto Adige,249,249,284,227,206,304,218,306,240,224,266,346,230,208,353,281,273,229,261,0,147,164,302
Umbria,157,156,162,139,134,159,138,168,146,146,160,167,149,141,181,174,155,152,148,147,0,106,158
Val d’Aosta,170,167,179,151,139,182,141,171,155,155,186,199,160,143,224,173,164,162,162,164,106,0,173
Veneto,290,301,350,250,229,341,236,364,286,251,315,421,258,231,432,325,316,261,299,302,158,173,0
